srr	sample_name	replicate	single_paired	rcomp	unusable	trim_read_depth	sample_qc_score	paper_id	sample_id	protocol	paper_name	organism	cell_type	sample_id	condition_type	treatment	conc_intens	start_time	end_time	duration	duration_unit
SRR5364052	SRZ5364052	1	single	0	0	55209044	3	103	837	GRO-seq	Franco2018enhancer	H. sapiens	76NF2V	837	no treatment			NULL	NULL	NULL	
SRR5364054	SRZ5364052	1	single	0	0	55209044	3	103	837	GRO-seq	Franco2018enhancer	H. sapiens	76NF2V	837	no treatment			NULL	NULL	NULL	
SRR5364053	SRZ5364053	2	single	0	0	52767615	3	103	838	GRO-seq	Franco2018enhancer	H. sapiens	76NF2V	838	no treatment			NULL	NULL	NULL	
SRR5364055	SRZ5364053	2	single	0	0	52767615	3	103	838	GRO-seq	Franco2018enhancer	H. sapiens	76NF2V	838	no treatment			NULL	NULL	NULL	
SRR8887162	SRR8887162	1	single	0	0	37562231	2	211	1761	GRO-seq	Ma2020super	H. sapiens	A2780	1761	vehicle	PBS		-1	0	1	day
SRR8887165	SRR8887165	1	single	0	0	45546693	3	211	1764	GRO-seq	Ma2020super	H. sapiens	A2780	1764	treatment	cisplatin	6 microM	-3	-1	2	day
SRR8887165	SRR8887165	1	single	0	0	45546693	3	211	1764	GRO-seq	Ma2020super	H. sapiens	A2780	1764	treatment	cisplatin	6 microM	-1	0	1	day
SRR8887164	SRR8887164	1	single	0	0	34865051	2	211	1763	GRO-seq	Ma2020super	H. sapiens	A2780	1763	vehicle	PBS		-3	-1	2	day
SRR8887164	SRR8887164	1	single	0	0	34865051	2	211	1763	GRO-seq	Ma2020super	H. sapiens	A2780	1763	vehicle	PBS		-1	0	1	day
SRR8887175	SRR8887175	2	single	0	0	10943344	3	211	1766	GRO-seq	Ma2020super	H. sapiens	A2780	1766	treatment	cisplatin	2 microM	-3	-1	2	day
SRR8887175	SRR8887175	2	single	0	0	10943344	3	211	1766	GRO-seq	Ma2020super	H. sapiens	A2780	1766	treatment	cisplatin	2 microM	-1	0	1	day
SRR8887174	SRR8887174	2	single	0	0	7443262	4	211	1765	GRO-seq	Ma2020super	H. sapiens	A2780	1765	vehicle	PBS		-3	-1	2	day
SRR8887174	SRR8887174	2	single	0	0	7443262	4	211	1765	GRO-seq	Ma2020super	H. sapiens	A2780	1765	vehicle	PBS		-1	0	1	day
SRR8887163	SRR8887163	1	single	0	0	41126189	2	211	1762	GRO-seq	Ma2020super	H. sapiens	A2780	1762	treatment	cisplatin	2 microM	-3	-1	2	day
SRR8887163	SRR8887163	1	single	0	0	41126189	2	211	1762	GRO-seq	Ma2020super	H. sapiens	A2780	1762	treatment	cisplatin	2 microM	-1	0	1	day
SRR8887162	SRR8887162	1	single	0	0	37562231	2	211	1761	GRO-seq	Ma2020super	H. sapiens	A2780	1761	vehicle	PBS		-3	-1	2	day
SRR8706171	SRR8706171	3	paired	0	0	13123035	3	259	2146	PRO-seq	Santoriello2020rna	H. sapiens	A375	2146	treatment	nucleotides		-24	0	1	day
SRR8706164	SRR8706164	2	paired	0	0	16476297	2	259	2139	PRO-seq	Santoriello2020rna	H. sapiens	A375	2139	vehicle	DMSO		-24	0	1	day
SRR8706165	SRR8706165	3	paired	0	0	17982977	2	259	2140	PRO-seq	Santoriello2020rna	H. sapiens	A375	2140	vehicle	DMSO		-24	0	1	day
SRR8706166	SRR8706166	1	paired	0	0	17945347	2	259	2141	PRO-seq	Santoriello2020rna	H. sapiens	A375	2141	treatment	A771726	25 microM	-24	0	1	day
SRR8706167	SRR8706167	2	paired	0	0	15921189	3	259	2142	PRO-seq	Santoriello2020rna	H. sapiens	A375	2142	treatment	A771726	25 microM	-24	0	1	day
SRR8706168	SRR8706168	3	paired	0	0	14465605	3	259	2143	PRO-seq	Santoriello2020rna	H. sapiens	A375	2143	treatment	A771726	25 microM	-24	0	1	day
SRR8706169	SRR8706169	1	paired	0	0	14345527	3	259	2144	PRO-seq	Santoriello2020rna	H. sapiens	A375	2144	treatment	A771726	25 microM	-24	0	1	day
SRR8706169	SRR8706169	1	paired	0	0	14345527	3	259	2144	PRO-seq	Santoriello2020rna	H. sapiens	A375	2144	treatment	nucleotides		-24	0	1	day
SRR8706170	SRR8706170	2	paired	0	0	19942369	2	259	2145	PRO-seq	Santoriello2020rna	H. sapiens	A375	2145	treatment	A771726	25 microM	-24	0	1	day
SRR8706170	SRR8706170	2	paired	0	0	19942369	2	259	2145	PRO-seq	Santoriello2020rna	H. sapiens	A375	2145	treatment	nucleotides		-24	0	1	day
SRR8706171	SRR8706171	3	paired	0	0	13123035	3	259	2146	PRO-seq	Santoriello2020rna	H. sapiens	A375	2146	treatment	A771726	25 microM	-24	0	1	day
SRR1275489	SRR1275489	1	single	0	0	11048933	4	302	2416	GRO-seq	Tan2016stress	H. sapiens	A375	2416	vehicle	DMSO		-2	0	2	day
SRR1275490	SRR1275490	2	single	0	0	12343429	4	302	2417	GRO-seq	Tan2016stress	H. sapiens	A375	2417	vehicle	DMSO		-2	0	2	day
SRR1275491	SRR1275491	1	single	0	0	16023837	4	302	2418	GRO-seq	Tan2016stress	H. sapiens	A375	2418	treatment	leflunomide	25 microM	-2	0	2	day
SRR1275492	SRR1275492	2	single	0	0	16616077	4	302	2419	GRO-seq	Tan2016stress	H. sapiens	A375	2419	treatment	leflunomide	25 microM	-2	0	2	day
SRR1275493	SRR1275493	1	single	0	0	25713190	5	302	2420	GRO-seq	Tan2016stress	H. sapiens	A375	2420	treatment	A771726	25 microM	-2	0	2	day
SRR1275494	SRR1275494	2	single	0	0	20678114	5	302	2421	GRO-seq	Tan2016stress	H. sapiens	A375	2421	treatment	A771726	25 microM	-2	0	2	day
SRR8706163	SRR8706163	1	paired	0	0	18500442	2	259	2138	PRO-seq	Santoriello2020rna	H. sapiens	A375	2138	vehicle	DMSO		-24	0	1	day
SRR5109937	SRR5109937	1	single	0	0	19765001	2	34	338	GRO-seq	Bouvyliivrand2017analysis	H. sapiens	A549	338	no treatment			NULL	NULL	NULL	
SRR1041872	SRR1041872	1	single	0	0	159438686	5	222	1846	GRO-seq	Miller2015senataxin	H. sapiens	A549	1846	no treatment			NULL	NULL	NULL	
SRR1041873	SRR1041873	1	single	0	0	140980596	5	222	1847	GRO-seq	Miller2015senataxin	H. sapiens	A549	1847	treatment	influenza virus strain PR8-delta-NS1	MOI 5	-4	0	4	hr
SRR1041870	SRR1041870	1	single	0	0	142368083	5	222	1844	GRO-seq	Miller2015senataxin	H. sapiens	A549	1844	no treatment			NULL	NULL	NULL	
SRR1041871	SRR1041871	1	single	0	0	129766689	5	222	1845	GRO-seq	Miller2015senataxin	H. sapiens	A549	1845	treatment	influenza virus strain PR8-delta-NS1	MOI 5	-4	0	4	hr
SRR12482691	SRR12482691	2	single	1	0	125447543	2	107	875	PRO-seq	Gally2020gain	H. sapiens	A549	875	no treatment			NULL	NULL	NULL	
SRR12482690	SRR12482690	1	single	1	0	123808681	2	107	874	PRO-seq	Gally2020gain	H. sapiens	A549	874	no treatment			NULL	NULL	NULL	
SRR10897090	SRR10897090	1	single	0	0	30911814	2	212	1759	GRO-seq	Ma2020super	H. sapiens	A549	1759	vehicle	PBS		-1	0	1	day
SRR10897090	SRR10897090	1	single	0	0	30911814	2	212	1759	GRO-seq	Ma2020super	H. sapiens	A549	1759	vehicle	PBS		-3	-1	2	day
SRR10897091	SRR10897091	1	single	0	0	23575262	2	212	1760	GRO-seq	Ma2020super	H. sapiens	A549	1760	treatment	cisplatin	800 microM	-1	0	1	day
SRR10897091	SRR10897091	1	single	0	0	23575262	2	212	1760	GRO-seq	Ma2020super	H. sapiens	A549	1760	treatment	cisplatin	800 microM	-3	-1	2	day
